threshold,f1,precision,recall,specificity,balanced_accuracy,roc_auc,composite
0.68,0.2986460348162476,0.21648906337633203,0.48129675810473815,0.9083373430733563,0.6948170505890472,0.8106607260700153,0.5118254373971112
0.7,0.3027357311484516,0.2273201251303441,0.45303408146300916,0.9189667993526093,0.6860004404078093,0.8106607260700153,0.5100874158594537
0.72,0.3060332264645876,0.23563734290843807,0.43640897755610975,0.9255063208083636,0.6809576491822367,0.8106607260700153,0.5096531784852041
0.74,0.30635491606714627,0.23956868260665728,0.4247714048212801,0.9290494729014479,0.676910438861364,0.8106607260700153,0.508366186983047
0.76,0.19759168035030103,0.28926282051282054,0.15004156275976724,0.9806001487249026,0.5653208557423349,0.8106607260700153,0.43340043612396095
0.78,0.0440324449594438,0.3114754098360656,0.02369077306733167,0.9972442150387122,0.5104674940530219,0.8106607260700153,0.3670588025980843
0.8,0.004971002485501243,0.75,0.0024937655860349127,0.9999562573815669,0.5012250114838009,0.8106607260700153,0.41715086111851785
0.82,0.0008309098462816784,1.0,0.00041562759767248546,1.0,0.5002078137988363,0.8106607260700153,0.4529975799909228
0.84,0.0,0.0,0.0,1.0,0.5,0.8106607260700153,0.3026651815175038
0.86,0.0,0.0,0.0,1.0,0.5,0.8106607260700153,0.3026651815175038
0.88,0.0,0.0,0.0,1.0,0.5,0.8106607260700153,0.3026651815175038
0.9,0.0,0.0,0.0,1.0,0.5,0.8106607260700153,0.3026651815175038
